global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr,trap_name
241,6,1,"[4, 5]",90084.934091568,73816.48122787476,20559558.69100231,17360907.90355429,LCM 172
242,6,2,"[6, 7]",196024.17456817627,162391.23119926453,20954355.33805929,17448266.784683302,LCM 173
243,6,3,"[8, 9]",225287.93317699432,174891.49914836884,22831703.019982,18077009.447523177,LCM 174
244,6,4,"[10, 11, 12, 13, 14, 15]",135912.30389785767,90631.72806930542,72392241.40423284,49968846.84516312,ACL 2.26
245,6,5,"[10, 11]",174831.2343235016,134824.36050319672,22224645.24618357,17447413.75831009,LCM 175
246,6,6,"[12, 13]",158454.97589111328,109327.17371368408,18366315.502150085,12728172.133115962,LCM 176
247,6,7,"[14, 15]",38603.69488430023,29748.62240219116,12126655.630055783,9971307.758943176,LCM 177
248,6,8,"[20, 21, 22, 23, 24, 25]",17702.36761379242,14105.15098285675,35222930.7374666,28531468.14343007,ACL 2.27
249,6,9,"[20, 21]",109676.5562953949,101092.52869224548,12115742.258848296,11292269.465125317,LCM 178
250,6,10,"[22, 23]",93970.17802715302,86875.5730714798,11925252.196558412,11263241.126233969,LCM 179
251,6,11,"[24, 25]",114437.53090953828,105897.26307582857,12035178.795602247,11165247.010820463,LCM 180
252,6,12,"[26, 27, 28, 29, 30, 31]",70434.24646759033,55967.97721672058,37546655.90683593,30135367.934060182,ACL 2.28
253,6,13,"[26, 27]",81767.50306463242,75798.96977567673,10644305.75000636,9942360.30967347,LCM 181
254,6,14,"[28, 29]",95652.58440971376,92707.01444149016,9534232.502255335,9360960.88927007,LCM 182
255,6,15,"[30, 31]",63452.08801078797,55199.31602191925,8329890.007479277,7480890.905876537,LCM 183
280,7,0,"[52, 53, 54, 55, 56, 57]",260919.61984729767,220148.6775407791,88781742.63935186,76033886.40758543,ACL 2.29
281,7,1,"[52, 53]",284804.6789188385,253454.77875328064,39208784.48554292,35020936.88403612,LCM 184
